R_POTEMP,R_TEMP,R_DEPTH,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_PRES,R_O2,R_O2Sat
6.35,6.38,329,33.75,26.120341,192.307163,0.64,331,3.105388,50.474572
5.76,5.79,400,33.955,26.75,133.1,0.74,403,3.105388,50.474572
5.1,5.14,492,34,26.87,122.8,0.86,496,3.105388,50.474572
5.06,5.1,500,34.01,26.88,121.7,0.87,504,3.105388,50.474572
4.6,4.65,600,34.128,27.02,108.6,0.98,605,3.105388,50.474572
4.26,4.31,700,34.245,27.15,96.8,1.09,706,3.105388,50.474572
4.15,4.21,739,34.29,27.2,92.7,1.12,745,3.105388,50.474572
4.01,4.07,800,34.309,27.23,90.2,1.18,807,3.105388,50.474572
3.76,3.83,900,34.34,27.28,85.9,1.27,908,3.105388,50.474572
3.52,3.59,1000,34.372,27.33,81.6,1.35,1009,3.105388,50.474572
3.31,3.39,1085,34.4,27.37,77.8,1.42,1095,3.105388,50.474572
10.5,10.5,0,32.75,25.11,284.2,0,0,3.105388,50.474572
10.52,10.52,8,32.75,25.1,284.7,0.02,8,3.105388,50.474572
10.51,10.51,10,32.748,25.1,284.7,0.02,10,3.105388,50.474572
10.48,10.48,19,32.74,25.1,285,0.05,19,3.105388,50.474572
10.47,10.47,20,32.74,25.1,284.8,0.05,20,3.105388,50.474572
10.34,10.34,30,32.737,25.12,283.1,0.08,30,3.105388,50.474572
10.2,10.2,37,33.828065,26.120341,192.307163,0.1,37,3.105388,50.474572
9.84,9.85,50,32.738,25.21,275.6,0.14,50,3.105388,50.474572
9.69,9.7,55,32.74,25.23,273.2,0.15,55,3.105388,50.474572
9.28,9.29,71,32.74,25.3,267.1,0.19,71,3.105388,50.474572
9.19,9.2,75,32.791,25.35,262.1,0.2,75,3.105388,50.474572
9.004084,9.35,100,33.42,26.120341,192.307163,0.26,101,3.105388,50.474572
8.27,8.28,125,33.565,26.1,191.7,0.31,126,3.105388,50.474572
8.23,8.24,128,33.62,26.15,187.1,0.32,129,3.105388,50.474572
7.94,7.95,150,33.724,26.28,175.6,0.36,151,3.105388,50.474572
7.48,7.5,191,33.78,26.39,165.8,0.43,192,3.105388,50.474572
7.4,7.42,200,33.807,26.42,162.8,0.44,201,3.105388,50.474572
6.96,6.98,250,33.938,26.58,147.8,0.52,252,3.105388,50.474572
6.92,6.94,255,33.95,26.6,146.4,0.53,257,3.105388,50.474572
6.51,6.54,300,33.988,26.68,139,0.59,302,3.105388,50.474572
5.83,5.86,380,34,26.78,130.4,0.7,383,3.105388,50.474572
5.74,5.77,400,34.012,26.8,128.6,0.73,403,3.105388,50.474572
5.26,5.3,500,34.075,26.91,119.3,0.85,504,3.105388,50.474572
4.78,4.83,600,34.141,27.01,109.7,0.96,605,3.105388,50.474572
4.31,4.36,700,34.211,27.12,99.9,1.07,706,3.105388,50.474572
4.04,4.1,755,34.25,27.18,94.5,1.12,761,3.105388,50.474572
11.6,11.6,0,32.88,25.01,293.1,0,0,3.105388,50.474572
11.69,11.69,9,32.86,24.98,296.4,0.02,9,3.105388,50.474572
11.69,11.69,10,32.86,24.98,296.4,0.02,10,3.105388,50.474572
11.66,11.66,20,32.86,24.99,296.1,0.05,20,3.105388,50.474572
11.64,11.64,23,32.86,24.99,295.8,0.06,23,3.105388,50.474572
11.64,11.64,30,32.863,24.99,295.7,0.08,30,3.105388,50.474572
11.63,11.64,47,32.88,25.01,294.8,0.13,47,3.105388,50.474572
11.6,11.61,50,32.882,25.01,294.2,0.14,50,3.105388,50.474572
11.35,11.36,71,32.9,25.07,289,0.2,71,3.105388,50.474572
11.17,11.18,75,32.927,25.13,284,0.22,75,3.105388,50.474572
10.19,10.2,94,33.1,25.43,255.2,0.27,94,3.105388,50.474572
9.89,9.9,100,33.165,25.53,245.7,0.28,101,3.105388,50.474572
8.82,8.83,125,33.425,25.91,210.2,0.34,126,3.105388,50.474572
8.28,8.29,141,33.58,26.11,191.1,0.37,142,3.105388,50.474572
8.09,8.11,150,33.638,26.19,184.3,0.39,151,3.105388,50.474572
7.63,7.65,187,33.8,26.38,166.3,0.45,188,3.105388,50.474572
7.48,7.5,200,33.833,26.43,162,0.47,201,3.105388,50.474572
6.96,6.98,250,33.916,26.57,149.4,0.55,252,3.105388,50.474572
6.69,6.72,279,33.93,26.61,145.3,0.59,281,3.105388,50.474572
6.51,6.54,300,33.944,26.65,142.2,0.63,302,3.105388,50.474572
5.93,5.96,377,33.98,26.75,133.1,0.73,380,3.105388,50.474572
5.75,5.78,400,33.996,26.79,129.9,0.76,403,3.105388,50.474572
5.05,5.09,500,34.073,26.93,116.9,0.88,504,3.105388,50.474572
4.64,4.68,568,34.13,27.02,108.5,0.96,572,3.105388,50.474572
4.49,4.54,600,34.154,27.06,105.3,1,605,3.105388,50.474572
4.12,4.17,700,34.225,27.15,96.7,1.1,706,3.105388,50.474572
3.82,3.88,800,34.286,27.23,89.7,1.19,807,3.105388,50.474572
3.72,3.78,846,34.31,27.26,87.1,1.23,853,3.105388,50.474572
3.6,3.67,900,34.321,27.28,85.5,1.28,908,3.105388,50.474572
3.41,3.48,1000,34.342,27.32,82.5,1.36,1009,3.105388,50.474572
3.2,3.28,1100,34.363,27.35,79.4,1.44,1110,3.105388,50.474572
3,3.08,1200,34.385,27.39,76.2,1.52,1211,3.105388,50.474572
2.79,2.88,1300,34.408,27.43,72.8,1.59,1313,3.105388,50.474572
2.69,2.78,1352,34.42,27.45,71.1,1.63,1365,3.105388,50.474572
12.5,12.5,0,33.17,25.07,287.8,0,0,3.105388,50.474572
12.66,12.66,8,33.24,25.09,285.8,0.02,8,3.105388,50.474572
12.66,12.66,10,33.212,25.07,287.9,0.02,10,3.105388,50.474572
12.64,12.64,20,33.057,24.95,299.2,0.05,20,3.105388,50.474572
12.64,12.64,21,33.04,24.94,300.4,0.06,21,3.105388,50.474572
12.64,12.64,30,33.068,24.96,298.6,0.08,30,3.105388,50.474572
12.63,12.64,43,33.17,25.04,291.4,0.12,43,3.105388,50.474572
12.63,12.64,50,33.159,25.03,292.3,0.14,50,3.105388,50.474572
12.62,12.63,65,33.13,25.01,294.6,0.19,65,3.105388,50.474572
12.63,12.64,75,33.158,25.03,293,0.22,75,3.105388,50.474572
12.65,12.66,87,33.22,25.08,289.1,0.25,87,3.105388,50.474572
12.51,12.52,100,33.283,25.16,282.1,0.29,100,3.105388,50.474572
11.92,11.94,125,33.383,25.34,264.8,0.36,126,3.105388,50.474572
11.75,11.77,130,33.4,25.39,260.6,0.37,131,3.105388,50.474572
10.82,10.84,150,33.42,25.57,243.3,0.42,151,3.105388,50.474572
9.71,9.73,172,33.44,25.78,224,0.47,173,3.105388,50.474572
8.88,8.9,200,33.518,25.97,205.7,0.53,201,3.105388,50.474572
7.73,7.75,250,33.672,26.27,178.2,0.63,251,3.105388,50.474572
9.004084,8.16,254,33.86,26.120341,192.307163,0.63,255,3.105388,50.474572
7,7.03,300,33.828,26.49,157.4,0.71,302,3.105388,50.474572
6.73,6.76,341,33.95,26.62,145.3,0.77,343,3.105388,50.474572
6.04,6.07,400,33.932,26.7,138.3,0.85,403,3.105388,50.474572
5.17,5.21,500,33.942,26.81,128,0.99,503,3.105388,50.474572
5.08,5.12,514,33.8,26.120341,192.307163,1,518,3.105388,50.474572
4.66,4.71,600,33.996,26.91,119.1,1.11,604,3.105388,50.474572
4.33,4.38,700,34.086,27.02,109.5,1.22,705,3.105388,50.474572
4.22,4.28,747,34.14,27.07,104.7,1.27,753,3.105388,50.474572
4.08,4.14,800,34.166,27.11,101.6,1.33,806,3.105388,50.474572
3.82,3.89,900,34.217,27.18,95.8,1.43,907,3.105388,50.474572
3.56,3.63,1000,34.268,27.24,89.7,1.52,1008,3.105388,50.474572
3.29,3.37,1100,34.32,27.31,83.6,1.61,1110,3.105388,50.474572
3.02,3.11,1200,34.374,27.38,77.3,1.69,1211,3.105388,50.474572
2.99,3.08,1212,34.38,27.39,76.6,1.7,1223,3.105388,50.474572
